tmax;tmin;tsuelo;puntorocio;presion;velviento;precipi;humedad;uvindex;y
25,62;15,44;15,65;15,97;1015;1,2;12,25;97;11,49;0,3
23,69;15,19;15,65;16,08;1015;0,34;20,7;98;11,37;0,3
22,46;15,1;15,65;16,43;1013;1,2;22,37;71;11,37;0,3
22,78;15,1;15,86;17,03;1010;1,41;20,5;77;10,27;1
23,18;15,1;14,79;16,44;1016;0,33;25,35;99;10,27;0,3
22,87;15,51;15,25;16,44;1015;0,55;15,93;99;11,32;0,3
21,66;15,4;15,25;16,28;1015;0,6;18,35;74;11,32;0,3
23,02;15,4;15,25;17,1;1011;1,67;17,48;75;9,66;0,3
22,75;15,4;14,84;16,18;1016;0,8;18,62;96;9,66;0,3
23,78;14,65;14,84;16,58;1017;0,67;8,95;98;10,59;0,3
23,16;14,62;14,34;16,27;1015;0,83;7;69;10,59;0,3
24,06;14,62;14,34;16,56;1010;1,49;8,39;63;11,22;0,3
23,98;14,62;14,92;16,43;1016;1,05;9,54;97;11,22;0,3
24,14;15,35;14,92;16,11;1017;0,51;11,84;99;11,19;0,3
23,49;15,19;14,92;16,42;1015;1,05;12,52;67;11,19;0,3
25,02;15,19;14,67;16,94;1011;1,44;10,73;71;11,25;0,3
24,4;15,19;15,17;15,39;1017;0,81;13,67;98;11,25;0,3
24,52;14,59;15,17;15,43;1017;0,42;10,45;98;11,33;0,3
24,22;14,51;15,17;17,41;1016;0,84;9,89;69;11,33;0,3
23,26;14,51;15,17;14,81;1011;1,24;7,6;65;10,87;0,3
24,61;14,51;15,25;14,77;1016;0,95;8,57;96;10,87;0,3
24,53;14,21;15,25;15,59;1017;0,46;8,58;98;11,62;0,3
24,31;14,26;15,25;16,76;1015;1,18;8,69;65;11,62;0,3
24,07;14,26;15,25;15,6;1011;1,38;5,98;65;11,72;0,3
24,63;14,26;14,72;15,18;1017;0,95;8,09;96;11,72;0,3
25,6;14,2;14,52;15,51;1017;0,62;4,52;98;11,62;0,3
24,66;14,18;14,52;15,39;1014;0,96;3,61;63;11,62;0,3
25,52;14,18;14,52;15,5;1009;1,27;3,66;57;11,51;0,3
25,72;14,18;15,03;15,41;1015;0,89;6,77;97;11,51;0,3
25,37;15,17;15,03;16,08;1014;0,46;10,91;98;11,95;0,3
24,81;15,06;15,03;16,63;1012;1,2;9,29;64;11,95;0,3
25,11;15,06;15,03;16,79;1007;1,23;8,65;64;11,6;0,3
25,28;15,06;15,25;16,55;1014;1,09;8,52;97;11,6;0,3
25,31;15,33;15,2;16,08;1013;0,68;11,36;98;11,78;0,3
24,53;15,32;15,2;16,29;1012;1,18;12,62;63;11,78;0,3
27,02;15,32;15,2;17,63;1007;1,3;10,97;64;11,29;0,3
25,38;15,32;15,85;16,41;1014;0,87;13,17;98;11,29;0,3
23,82;15,65;15,22;16,81;1014;0,46;11,37;99;10,99;0,3
23,07;16,03;15,22;17,3;1013;0,81;17,15;71;10,99;0,3
22,73;16,03;15,22;17,2;1010;2,08;14,11;79;10,97;1
23,45;16,03;15,53;16,85;1015;0,7;15,96;98;10,97;0,3
23;15,69;15,53;16,93;1015;0,39;11,83;99;5,05;0,3
22,62;15,84;15,53;16,7;1014;0,65;14,47;72;5,05;0,3
27,02;15,84;15,76;18,94;1009;1,59;13,71;70;10,9;0,3
23,29;15,84;15,58;17,06;1015;0,73;16,47;97;10,9;0,3
24,38;14,98;15,58;16,3;1015;0,49;8,03;99;9,79;0,3
22,98;15,02;15,15;12,92;1013;1,08;9,64;68;9,79;0,3
24,34;15,02;15,15;16,35;1008;1,59;8,82;63;11,12;0,3
24,83;15,02;15,41;16,32;1015;1,02;9,33;97;11,12;0,3
25,32;15,25;14,89;16,25;1015;0,69;13,12;98;11,43;0,3
24,7;15,33;14,89;16,33;1013;1,12;12,97;65;11,43;0,3
26,02;15,33;14,89;16,99;1008;1,39;11,62;62;11,65;0,3
25,55;15,33;15,35;16,45;1015;1,02;13,96;98;11,65;0,3
23,98;16;15,35;16,28;1014;0,99;16,82;99;10,59;0,3
23,2;15,9;15,35;17,61;1014;0,57;20,18;77;10,59;1
27,02;15,9;15,35;17,99;1009;1,48;17,22;67;8,73;0,3
25,14;15,9;15,65;16,4;1016;0,92;16,38;98;8,73;0,3
24,19;15,46;15,65;16,47;1016;0,64;14,55;99;11,73;0,3
23,79;15,32;15,65;16,55;1014;0,74;15,36;67;11,73;0,3
25,14;15,32;15,65;16,65;1009;1,74;11,99;64;11,25;0,3
25,17;15,32;15,05;15,97;1016;0,79;13,29;96;11,25;0,3
25,04;15,48;15,45;15,98;1016;0,58;9,95;98;12,1;0,3
24,79;15,6;15,45;16,19;1014;0,99;10,01;62;12,1;0,3
23,77;15,6;15,45;15,29;1009;1,45;9,36;62;11,16;0,3
25,31;15,6;15,4;15,81;1015;0,96;9,48;97;11,16;0,3
25,25;15,8;15,4;16,47;1014;0,62;11,66;98;12,14;0,3
24,89;15,85;15,4;16,73;1013;0,75;14,08;65;12,14;0,3
25,38;15,85;15,4;16,9;1008;1,81;15,12;65;12,08;0,3
25,5;15,85;15,55;16,51;1015;1,26;13,5;97;12,08;0,3
24,05;15,83;15,97;16,85;1015;0,44;15,89;99;6,39;0,3
23,24;15,85;15,97;17,31;1014;1,04;14,87;75;6,39;0,3
26,02;15,85;15,97;17,55;1009;1,46;13,32;66;11,7;0,3
24,77;15,89;15,4;16,11;1015;0,61;15,27;99;10,35;0,3
22,84;15,98;15,29;16,31;1013;0,62;22,86;70;10,35;0,3
25,02;15,98;15,29;18,3;1009;2,04;24,93;76;9,87;1
23,81;15,98;15,55;16,94;1016;0,55;23,07;97;9,87;0,3
26,26;15,04;15,55;15,53;1015;0,75;9,46;97;12,19;0,3
25,18;14,65;15,55;14,3;1012;1,08;10,88;57;12,19;0,3
27,02;14,65;15,55;15,18;1008;1,64;8,66;53;12,77;0,3
26,15;14,58;14,93;14,99;1012;0,98;3,52;55;10,69;0,3
29,02;14,58;14,93;15,78;1007;1,36;3,08;51;12,1;0,3
24,73;15,28;15,48;17,62;1016;0,94;13,73;97;10,7;0,3
21,15;15,77;15,48;17,02;1016;0,75;17,4;99;3,67;0,3
22,02;15,9;15,48;18,77;1016;0,7;11,04;85;3,67;0,3
23,02;15,9;15,48;18,75;1013;1,27;20,24;90;1,43;0,3
20,92;15,9;15,37;17,18;1017;0,56;18,85;98;1,43;0,3
22,2;15,82;15,37;16,68;1016;0,43;14,14;99;7,87;0,3
20,13;15,91;15,37;16,77;1016;0,23;11,7;81;7,87;1
20,18;15,91;15,37;16,82;1013;1,57;15,75;86;5,82;0,3
21,37;15,91;14,75;16,89;1017;0,66;13,91;96;5,82;0,3
22,86;15,91;14,75;16,76;1015;0,53;12,54;99;12,69;0,3
22,28;15,28;14,94;16,25;1014;0,9;8,8;70;12,69;0,3
24,02;15,28;14,94;17,82;1011;1,72;6,25;77;10,56;1
22,94;15,28;14,72;16,58;1017;0,87;7,08;96;10,56;0,3
20,88;15,4;14,72;15,04;1017;0,47;11,46;99;3,56;0,3
20,63;15,42;14,72;18,67;1019;0,48;9,71;98;3,56;0,3
21,09;15,42;14,72;15,45;1012;0,99;7,86;68;5,78;0,3
20,29;15,42;14,28;15,64;1016;0,8;7,31;95;5,78;0,3
25,54;14,56;14,45;15,65;1015;0,24;6,78;95;8,75;0,3
25,27;13,7;14,45;14,72;1007;1,52;3,31;57;11,8;0,3
27,02;13,7;15,36;14,65;1014;1,07;5,37;97;11,8;0,3
24,95;15,82;15,86;16,25;1014;0,23;14,09;98;12,07;0,3
24,56;15,85;15,86;17,13;1013;1,21;10,87;67;12,07;0,3
24,13;15,85;15,86;16,14;1009;1,49;9,73;66;12,2;0,3
24,96;15,85;15,61;16,33;1015;0,89;10,18;97;12,2;0,3
25,23;15,63;15,93;16,3;1015;0,62;10,03;98;10,25;0,3
25,31;15,7;15,93;17,41;1014;1,35;12,37;64;10,25;0,3
25,53;15,7;15,93;16,07;1009;1,47;9,89;59;11,28;0,3
25,84;15,7;15,95;16,08;1015;1,12;10,78;96;11,28;0,3
26,37;15,4;15,58;15,74;1014;0,47;8,22;97;11,78;0,3
26,04;15,56;15,58;15,54;1012;1,02;10,9;56;11,78;0,3
28,02;15,56;15,58;17,04;1008;1,3;6,8;59;11,63;0,3
26,36;15,56;15,71;15,69;1015;0,89;6,96;97;11,63;0,3
25,67;16,04;15,71;16,41;1015;0,51;11,99;98;12,17;0,3
25,15;16,04;15,71;16,7;1014;0,66;11,15;65;12,17;0,3
24,25;16,31;15,71;15,44;1010;1,68;9,46;56;12,21;0,3
26,42;16,47;15,81;16,35;1017;1,14;10,73;97;12,21;0,3
25,91;15,21;15,81;14,31;1017;0,73;8,59;97;11,02;0,3
25,28;14,93;15,81;15,91;1015;1,01;10,76;59;11,02;0,3
24,9;14,93;15,81;15,18;1010;1,45;8,79;58;12,06;0,3
25,33;14,93;15,32;14,84;1017;1,01;9,36;96;12,06;0,3
24,66;14,06;15,32;14,89;1017;0,57;7,86;97;11,67;0,3
26,02;14,19;15,32;15,33;1011;1,38;5,48;57;11,99;0,3
25,12;14,19;14,17;14,51;1017;0,82;6,4;95;11,99;0,3
25,78;14,43;14,17;14,97;1017;0,58;5,37;98;12,02;0,3
25;14,38;14,17;15,34;1015;0,99;5,7;61;12,02;0,3
25,54;14,38;14,17;14,63;1010;1,27;3,86;51;11,79;0,3
23;12,27;17,15;14,3;1013;0,68;4,06;83;9,92;0,3
19,93;10,63;15,41;13,01;1016;0,75;6,39;88;2;0,3
18,69;12,54;15,41;13,25;1018;0,49;10,44;100;12,01;0,3
18,69;11,26;13,88;13,25;1018;2,06;10,44;100;12,01;0,3
25,49;10,68;13,88;17,4;1019;1,33;9,76;65;12,01;0,3
19,81;10,68;14,29;13,11;1018;3,09;11,83;83;12,02;0,3
18,72;11,55;14,29;14,24;1017;1,54;17,09;88;9,68;0,3
25;11,25;14,29;18,05;1020;1,54;22,79;69;9,68;0,3
25,55;11,25;14,29;14,33;1014;2,06;17,92;51;11,18;0,3
18,8;11,25;14,91;14,38;1018;1,03;18,65;88;11,18;0,3
18,78;12,19;14,63;14,36;1017;1,03;18,54;94;11,97;0,3
28;11,76;14,63;18,76;1017;2,57;19,16;61;11,97;0,3
28;11,76;14,63;16,33;1014;7,2;13,16;61;9,54;0,3
18,19;11,76;13,49;14,24;1019;1,19;14,32;94;9,54;0,3
18,51;11,58;13,49;14,01;1017;1,34;9,82;94;6,9;0,3
26;10,98;13,49;17,93;1017;1,03;8,54;65;6,9;0,3
22,78;10,98;13,49;14,54;1008;1,3;7,43;67;8,23;0,3
19,86;10,98;14,67;14,04;1018;1,03;10,35;83;8,23;0,3
17,48;11,31;14,67;14,34;1016;1,03;12,67;94;3,98;0,3
26;11,01;14,67;18,7;1017;1,54;15,42;69;3,98;0,3
29;11,01;14,67;15,65;1013;2,06;9,6;54;7,97;0,3
19,65;11,01;14,08;14,04;1018;1,54;9,15;88;7,97;0,3
20,32;11,28;14,64;13,8;1015;1,62;11,68;94;7,77;0,3
26;10,66;14,64;19,16;1016;1,54;12,65;73;7,77;0,3
30;10,66;14,64;16,1;1011;2,06;9,19;54;10,49;0,3
20,08;10,66;14,24;14,01;1015;2,06;14,45;100;10,49;0,3
19,9;11,62;14,24;14,07;1014;1,54;11,6;100;11,54;0,3
25,49;11,03;14,24;18,85;1015;1,03;8,11;73;11,54;0,3
24,43;11,03;14,19;15,6;1012;1,03;7,25;78;12,03;0,3
20,61;11,03;14,09;13,49;1015;2,06;6,8;94;12,03;0,3
19,99;11,27;14,09;13,37;1013;1,63;7,58;82;11,74;0,3
28;11,11;14,09;19,28;1015;1,54;8,58;65;11,74;0,3
32;11,11;14,09;15,68;1011;3,6;5,81;45;12,84;0,3
20,12;11,11;13,95;13,33;1015;1,03;6,27;88;12,84;0,3
20,13;11,17;13,95;13,85;1015;1,68;10,13;94;10,8;0,3
18,68;10,9;13,95;7,85;1014;0,59;7,93;64;10,8;0,3
18,54;10,9;13,95;10,46;1010;0,8;6,08;65;12,22;0,3
20,39;4,35;14,17;13,46;1017;1,9;7,61;92;12,22;0,3
20,5;3,79;14,17;13,98;1016;1,76;11,83;92;12,5;0,3
19,52;10,46;14,06;6,01;1014;0,93;9,52;64;12,5;0,3
21,73;11,13;14,29;13,52;1015;2,57;8,82;83;13,93;0,3
21;11,26;14,29;14,67;1014;1,54;14,95;100;11,35;0,3
27;11,02;14,29;19,56;1015;1,54;14,41;69;11,35;0,3
30;11,02;14,29;17,1;1012;3,09;7,61;62;6,41;0,3
20,92;11,02;14,69;14,57;1015;2,57;12,04;78;6,41;0,3
19,31;11,55;14,69;15,11;1015;1,54;15,18;94;6,98;0,3
29;10,9;14,51;20,31;1015;1,54;15,16;65;6,98;0,3
27;10,9;14,51;16,57;1010;6,17;12,73;65;8,86;0,3
19,61;10,9;15,17;14,99;1017;2,06;14,6;94;8,86;0,3
17,96;12,09;14,66;14,67;1016;3,09;18,36;94;6,88;0,3
26;12,38;14,66;19,58;1017;2,57;20,76;73;6,88;0,3
27;12,53;14,66;17,04;1013;5,14;18,37;69;8,47;0,3
19,67;12,53;14,65;15,05;1018;1,03;20,9;88;8,47;0,3
18,73;12,28;14,65;15,27;1017;1,03;21,04;94;10,06;0,3
22,39;12,45;14,65;19,9;1018;1,54;21,13;94;10,06;0,3
22,19;12,45;14,65;16,44;1014;2,57;18,44;83;7,08;0,3
19,09;12,45;14,77;15,32;1018;1,03;23,67;94;7,08;0,3
17,54;2,13;14,41;14,15;1017;0,79;12,22;97;7,01;0,3
16,36;11,07;14,41;12,95;1019;0,37;13,43;91;7,01;0,3
13,77;7,13;14,41;9,35;1013;0,69;13,05;79;4;0,3
16,65;2,13;14,83;13,95;1019;1,77;16,54;94;4;0,3
20,83;-0,1;14,83;12,67;1017;1,78;6,37;88;10,44;0,3
18,95;10,09;14,83;7,91;1014;0,76;7,14;57;10,44;0,3
19,03;9,35;14,83;7,29;1010;1,64;4,33;60;11,41;0,3
21,24;3,24;14,15;12,04;1017;1,71;5,79;94;11,41;0,3
19,86;1,02;14,15;14,56;1016;1,56;13,09;93;11,41;0,3
19,45;10,78;14,15;12,48;1014;0,74;11,43;66;11,41;0,3
22,71;10,78;14,15;14,5;1010;0,86;6,93;68;11,8;0,3
20,77;3,79;14,41;13,87;1017;1,87;9,03;93;11,8;0,3
20,34;3,24;14,41;14,71;1016;1,69;12,58;89;6,74;0,3
20,02;10,89;14,41;13,51;1014;0,73;11,61;68;6,74;0,3
21,71;10,89;14,41;15,07;1010;0,99;9,92;75;10,44;0,3
20,63;4,35;14,64;14,58;1017;1,38;14,34;95;10,44;0,3
19,26;3,24;14,64;14,9;1016;1,38;21,79;94;7,36;0,3
17,57;7,13;14,64;4,98;1014;0,56;10,13;72;7,36;0,3
21,71;11,45;14,31;15,08;1010;0,59;8,34;74;7,99;0,3
19,67;3,24;15,35;14,87;1018;1,55;8,56;95;7,99;0,3
18,64;2,68;15,35;15,05;1015;1,07;13,11;95;9,11;0,3
19,71;11,63;15,35;16,63;1016;0,22;12,22;87;9,11;0,3
15,31;8,24;15,35;9,86;1011;0,89;9,6;74;7,32;0,3
19,27;3,24;14,98;14,59;1016;1,77;14,74;93;7,32;0,3
20,26;2,68;14,98;13,96;1016;1,51;7,36;92;9,05;0,3
18,29;8,24;15,17;4,89;1014;0,56;6,84;68;9,05;0,3
18,83;8,79;14,95;9,18;1009;1;5,19;68;9,29;0,3
20,56;3,79;14,74;13,94;1017;1,52;6,9;92;9,29;0,3
19,79;2,13;14,74;14,5;1017;1,46;10,16;95;8,16;0,3
19,71;11,75;14,67;14,25;1015;0,45;11,07;72;8,16;0,3
21,71;11,68;14,67;15,14;1011;0,48;9,85;75;11,95;0,3
20;4,35;14,48;14,68;1018;1,56;12,95;95;11,95;0,3
19,21;3,24;14,36;14,71;1017;1,23;14,88;97;6,87;0,3
17,62;11,88;14,36;11,82;1015;1,06;13,95;70;6,87;0,3
21,71;12,02;14,36;15,14;1012;0,55;14,43;77;8,39;0,3
19,16;12,02;14,65;14,56;1019;1,76;16,08;95;8,39;0,3
19,01;2,13;14,27;14,34;1018;1,69;12,9;93;8,92;0,3
18,65;10,89;14,27;13,26;1016;0,75;14,15;75;8,92;0,3
17,76;6,57;14,27;9,07;1012;0,8;13,56;73;10,42;0,3
19,33;3,24;14,37;14,69;1019;1,58;15,06;95;10,42;0,3
17,09;2,13;14,37;14,92;1018;1,58;13,8;94;6,46;0,3
18,71;10,67;14,37;15,67;1017;1,17;10,96;84;6,46;0,3
17,45;10,67;14,14;13,5;1013;0,97;14,55;92;5,19;0,3
17,45;2,68;14,58;14,94;1018;0,25;17,04;97;5,19;0,3
18,23;2,13;14,58;13,88;1016;0,7;6,66;97;6,71;0,3
17,49;11,39;14,58;12,92;1015;1,13;10,12;78;6,71;0,3
16,29;6,57;14,58;9,24;1012;1,38;5,02;79;6,78;0,3
17,92;2,68;15,01;13,94;1018;0,74;8,16;97;6,78;0,3
18,83;2,13;14,42;14,53;1017;0,41;21,63;97;6,63;0,3
18;9,35;14,42;8,07;1016;0,49;15,48;83;6,63;0,3
16,01;9,35;14,42;10,64;1011;0,47;11,96;75;9,54;0,3
19;3,24;15,47;14,86;1018;1,75;15,02;95;9,54;0,3
19,22;2,68;15,47;15,05;1018;1,68;18,34;94;9,96;0,3
18,26;7,68;15,47;9,7;1011;0,93;16,77;74;11,72;0,3
18,99;3,24;15,25;14,76;1018;1,6;19,38;96;11,72;0,3
19,22;-0,65;14,44;14,14;1016;1,17;17,61;94;4,37;0,3
17,81;11,41;14,44;11,81;1015;0,97;12,37;72;4,37;0,3
20,71;11,41;14,44;14,46;1011;0,88;11,6;77;8,13;0,3
18,92;3,24;15,09;14,24;1017;1,27;12,23;95;8,13;0,3
19,51;2,68;14,85;14,4;1016;1,47;9,01;94;10,15;0,3
18,9;11,05;14,85;13,03;1014;1,22;7,09;68;10,15;0,3
22,71;11,05;14,85;14,97;1010;1;8,76;72;8,03;0,3
19,62;4,35;14,75;14,46;1017;1,45;9,63;94;8,03;0,3
19,98;3,79;14,78;14,4;1016;1,5;13,66;92;9,27;0,3
19,93;10,61;14,78;13;1014;0,96;13,24;66;9,27;0,3
22,71;10,61;14,78;14,55;1010;0,42;11,94;70;7,79;0,3
20,13;4,35;14,17;13,97;1017;1,63;12,04;94;7,79;0,3
19,75;2,13;14,17;14,4;1017;1,52;14,38;94;9,25;0,3
17,36;8,24;14,17;5,96;1015;0,77;9,98;74;9,25;0,3
17,92;8,24;14,17;9,86;1011;0,14;5,18;77;10,3;0,3
18,94;10,99;14,61;14,17;1017;1,71;5,85;89;10,3;0,3
19,36;10,71;14,61;14,3;1016;1,59;17,72;85;7,83;0,3
18,37;8,24;14,61;4,64;1014;1,15;14,37;66;7,83;0,3
18,91;8,24;14,61;9,45;1010;1,09;12,2;73;7,76;0,3
19,65;11,21;15,05;14,32;1017;1,56;14,92;95;7,76;0,3
19,1;11,15;14,99;14,53;1016;1,52;15,57;93;7,05;0,3
15,72;8,24;14,99;5,21;1014;0,9;14,56;70;7,05;0,3
17,53;8,24;14,99;10,22;1010;0,72;8,69;79;10,64;0,3
19,72;10,96;15,07;14,45;1017;1,46;14,52;95;10,64;0,3
17,62;11,25;15,07;13,8;1016;0,72;8,93;97;2,61;0,3
14,98;8,24;15,07;5,78;1014;0,95;10,58;73;2,61;0,3
18,71;11;15,07;14,27;1012;0,58;8,3;84;7,84;0,3
18,49;11,41;13,98;14,02;1018;1,41;9,57;95;7,84;0,3
15,93;10,45;13,98;13,51;1017;0,82;8,56;94;5,8;0,3
15,71;10,74;13,98;14,09;1018;0,24;8,02;93;5,8;0,3
15,68;10,74;13,98;12,67;1014;1,16;7,05;84;5,92;0,3
16,35;10,74;13,85;13,33;1019;0,35;10,01;97;5,92;0,3
14,07;11,47;13,85;13,67;1018;0,53;8,51;98;5,44;0,3
16,71;11,4;13,85;14,27;1019;0,63;8,53;89;5,44;0,3
19,71;11,4;14,06;14,81;1016;0,99;6,93;90;4,83;0,3
14,87;10,71;13,59;13,69;1019;0,91;7,96;91;4,83;0,3
18,74;10,71;13,59;14,05;1019;0,7;10,19;92;11,35;0,3
17,5;8,24;13,95;5,09;1017;0,89;2,67;69;11,35;0,3
17,33;8,24;13,95;9,15;1012;0,73;4,33;73;12,86;0,3
23,06;13,59;22,08;0;1016;1,35;3,87;88;14,05;0,3
20,61;14,41;21,69;0;1018;0,86;0,36;94;5,92;0,3
24;13,12;21,22;0;1018;1,09;1,04;73;7,61;0,3
22,48;14,46;21,37;0;1015;0,46;0,79;95;10,65;0,3
22,48;14,46;21,37;0;1015;0,46;0,79;95;10,65;0,3
22,48;14,39;21,37;0;1016;0,46;0,79;96;10,65;0,3
22,48;14,65;21,37;0;1018;0,46;0,79;100;10,65;0,3
22,48;14,65;21,37;0;1018;0,46;0,79;100;10,65;0,3
22,48;14,65;21,37;0;1018;1,63;0,16;94;10,65;0,3
24;14,12;21,37;0;1016;1;3,74;73;14,27;0,3
22,02;13,41;21,71;0;1021;1,4;0,69;88;13,69;0,3
23,83;12,8;21,61;0;1015;1,17;0,25;91;14,72;0,3
23,35;12,88;21,61;0;1016;1,13;4,9;78;14,87;0,3
26;12,69;21,64;0;1015;1,25;2,38;61;12,8;0,3
25;12,46;20,92;0;1017;1,12;0,64;65;14,58;0,3
22,3;13,92;18,54;0;1017;4,12;0;88;13,58;0,3
22,3;13,92;18,54;0;1017;4,12;0;88;13,58;0,3
22,26;14;18,77;0;1019;3,09;0;94;14,26;0,3
22,26;14;18,77;0;1019;3,09;0;94;14,26;0,3
22,26;14;21,67;0;1018;1,21;0,48;94;14,26;0,3
23,09;13,26;18,77;0;1016;1,42;0;94;14,19;0,3
24;13,15;18,77;0;1019;3,09;0;73;14,19;0,3
27;13,15;18,77;0;1016;4,12;0;57;14,34;0,3
26;13,15;21,67;0;1014;1,44;3,11;65;14,34;0,3
23,55;13,15;18,95;0;1016;3,09;0;78;14,34;0,3
